game,config,stateCov,codeCov
SP5,null,1,0.02140588317
SP6,dqn_s84x4_count_aa,17,0.3472770324
SP6,dqn_s84x4_count_aa_noma,10,0.3378058406
SP6,dqn_s84x4_count_aa_nops,0,0
SP6,dqn_s84x4_count_aa_nops_noma,15,0.3472770324
SP6,random_aa,18,0.3472770324
SP6,random_aa_noma,11,0.3378058406
SP6,random_aa_nops,0,0
SP6,random_aa_nops_noma,18,0.3472770324
SP6,null,1,0.1649565904
SP7,dqn_s84x4_count_aa,72422,0.2766177995
SP7,dqn_s84x4_count_aa_noma,72444,0.2850584925
SP7,dqn_s84x4_count_aa_nops,0,0
SP7,dqn_s84x4_count_aa_nops_noma,0,0
SP7,random_aa,76305,0.2757293055
SP7,random_aa_noma,78491,0.2566266844
SP7,random_aa_nops,0,0
SP7,random_aa_nops_noma,0,0
SP7,null,20507,0.2122019843
SP8,dqn_s84x4_count_aa,57,0.3571145462
SP8,dqn_s84x4_count_aa_noma,52,0.3571145462
SP8,dqn_s84x4_count_aa_nops,6,0.2929052715
SP8,dqn_s84x4_count_aa_nops_noma,3,0.2120491478
SP8,random_aa,21,0.3583036068
SP8,random_aa_noma,25,0.3737613952
SP8,random_aa_nops,4,0.2120491478
SP8,random_aa_nops_noma,5,0.2929052715
SP8,null,3,0.1430836306
