game,config,stateCov,codeCov
GH1,dqn_s84x4_count_aa,59,0.9033018868
GH1,dqn_s84x4_count_manual,29,0.8710691824
GH1,dqn_s84x4_count_b,6,0.733490566
GH1,random_aa,62,0.9025157233
GH1,random_manual,44,0.9040880503
GH1,random_b,9,0.8553459119
GH1,null,1,0.5786163522
GH2,dqn_s84x4_count_aa,106,0.4857643452
GH2,dqn_s84x4_count_manual,35,0.4275076654
GH2,dqn_s84x4_count_b,6,0.361804643
GH2,random_aa,104,0.5098554534
GH2,random_manual,55,0.4358300482
GH2,random_b,10,0.3876478318
GH2,null,1,0.2049934297
GH3,dqn_s84x4_count_aa,24993,0.700096432
GH3,dqn_s84x4_count_manual,21076,0.700096432
GH3,dqn_s84x4_count_b,1182,0.700096432
GH3,random_aa,26455,0.700096432
GH3,random_manual,21357,0.68756027
GH3,random_b,902,0.700096432
GH3,null,4,0.5554484089
GH4,dqn_s84x4_count_aa,199,0.9150641026
GH4,dqn_s84x4_count_manual,73,0.9150641026
GH4,dqn_s84x4_count_b,25,0.8125
GH4,random_aa,83,0.9150641026
GH4,random_manual,85,0.9150641026
GH4,random_b,15,0.8125
GH4,null,5,0.7163461538
GH5,dqn_s84x4_count_aa,15,0.9001848429
GH5,dqn_s84x4_count_manual,15,0.9001848429
GH5,dqn_s84x4_count_b,12,0.865064695
GH5,random_aa,15,0.9001848429
GH5,random_manual,15,0.9001848429
GH5,random_b,9,0.865064695
GH5,null,1,0.2292051756
GH6,dqn_s84x4_count_aa,1255,0.9268292683
GH6,dqn_s84x4_count_manual,630,0.9268292683
GH6,dqn_s84x4_count_b,132,0.9268292683
GH6,random_aa,1380,0.9268292683
GH6,random_manual,287,0.9268292683
GH6,random_b,49,0.9268292683
GH6,null,6,0.4146341463
GH7,dqn_s84x4_count_aa,78,0.825567503
GH7,dqn_s84x4_count_manual,77,0.825567503
GH7,dqn_s84x4_count_b,30,0.825567503
GH7,random_aa,101,0.825567503
GH7,random_manual,99,0.825567503
GH7,random_b,40,0.825567503
GH7,null,1,0.3405017921
GH8,dqn_s84x4_count_aa,13,1
GH8,dqn_s84x4_count_manual,6,0.7704918033
GH8,dqn_s84x4_count_b,1,0.2295081967
GH8,random_aa,18,1
GH8,random_manual,6,0.7704918033
GH8,random_b,1,0.2295081967
GH8,null,1,0.2295081967
SP1,dqn_s84x4_count_aa,70,0.4552238806
SP1,dqn_s84x4_count_manual,28,0.4149253731
SP1,dqn_s84x4_count_b,11,0.4171641791
SP1,random_aa,57,0.4552238806
SP1,random_manual,40,0.4149253731
SP1,random_b,11,0.4171641791
SP1,null,1,0.2313432836
SP2,dqn_s84x4_count_aa,2499,0.1789598109
SP2,dqn_s84x4_count_manual,3930,0.1789598109
SP2,dqn_s84x4_count_b,575,0.178250591
SP2,random_aa,1228,0.1787234043
SP2,random_manual,2552,0.1789598109
SP2,random_b,662,0.1787234043
SP2,null,17,0.1257683215
SP3,dqn_s84x4_count_aa,16,0.166819222
SP3,dqn_s84x4_count_manual,12,0.166819222
SP3,dqn_s84x4_count_b,10,0.1576659039
SP3,random_aa,17,0.166819222
SP3,random_manual,11,0.166819222
SP3,random_b,10,0.166819222
SP3,null,3,0.1226544622
SP4,dqn_s84x4_count_aa,15,0.1519434629
SP4,dqn_s84x4_count_manual,10,0.1519434629
SP4,dqn_s84x4_count_b,7,0.1298586572
SP4,random_aa,18,0.1519434629
SP4,random_manual,14,0.1519434629
SP4,random_b,7,0.1298586572
SP4,null,7,0.1219081272
SP5,dqn_s84x4_count_aa,184,0.04322607375
SP5,dqn_s84x4_count_manual,168,0.04322607375
SP5,dqn_s84x4_count_b,63,0.04322607375
SP5,random_aa,184,0.04322607375
SP5,random_manual,226,0.04322607375
SP5,random_b,61,0.04322607375
SP5,null,1,0.02140588317
SP6,dqn_s84x4_count_aa,17,0.3472770324
SP6,dqn_s84x4_count_manual,14,0.3472770324
SP6,dqn_s84x4_count_b,7,0.2943962115
SP6,random_aa,18,0.3472770324
SP6,random_manual,15,0.3472770324
SP6,random_b,7,0.2943962115
SP6,null,1,0.1649565904
SP7,dqn_s84x4_count_aa,72492,0.2766177995
SP7,dqn_s84x4_count_manual,82063,0.2846142455
SP7,dqn_s84x4_count_b,44818,0.2724714942
SP7,random_aa,76416,0.2757293055
SP7,random_manual,87210,0.2760254702
SP7,random_b,47361,0.2721753295
SP7,null,20521,0.2122019843
SP8,dqn_s84x4_count_aa,57,0.3571145462
SP8,dqn_s84x4_count_manual,43,0.3519619501
SP8,dqn_s84x4_count_b,4,0.2929052715
SP8,random_aa,21,0.3583036068
SP8,random_manual,15,0.3464130004
SP8,random_b,3,0.2120491478
SP8,null,3,0.1430836306
